image_path,label,class_name
train\pothole\train_pothole_0003.jpg,1,pothole
train\pothole\train_pothole_0004.jpg,1,pothole
train\pothole\train_pothole_0006.jpg,1,pothole
train\pothole\train_pothole_0007.jpg,1,pothole
train\pothole\train_pothole_0009.jpg,1,pothole
train\pothole\train_pothole_0010.jpg,1,pothole
train\pothole\train_pothole_0013.jpg,1,pothole
train\pothole\train_pothole_0015.jpg,1,pothole
train\pothole\train_pothole_0017.jpg,1,pothole
train\pothole\train_pothole_0019.jpg,1,pothole
train\pothole\train_pothole_0020.jpg,1,pothole
train\pothole\train_pothole_0022.jpg,1,pothole
train\pothole\train_pothole_0025.jpg,1,pothole
train\pothole\train_pothole_0026.jpg,1,pothole
train\pothole\train_pothole_0027.jpg,1,pothole
train\pothole\train_pothole_0029.jpg,1,pothole
train\pothole\train_pothole_0030.jpg,1,pothole
train\pothole\train_pothole_0034.jpg,1,pothole
train\pothole\train_pothole_0035.jpg,1,pothole
train\pothole\train_pothole_0036.jpg,1,pothole
train\pothole\train_pothole_0038.jpg,1,pothole
train\pothole\train_pothole_0040.jpg,1,pothole
train\pothole\train_pothole_0045.jpg,1,pothole
train\pothole\train_pothole_0046.jpg,1,pothole
train\pothole\train_pothole_0047.jpg,1,pothole
train\pothole\train_pothole_0048.jpg,1,pothole
train\pothole\train_pothole_0051.jpg,1,pothole
train\pothole\train_pothole_0053.jpg,1,pothole
train\pothole\train_pothole_0055.jpg,1,pothole
train\pothole\train_pothole_0060.jpg,1,pothole
train\pothole\train_pothole_0061.jpg,1,pothole
train\pothole\train_pothole_0062.jpg,1,pothole
train\pothole\train_pothole_0063.jpg,1,pothole
train\pothole\train_pothole_0068.jpg,1,pothole
train\pothole\train_pothole_0069.jpg,1,pothole
train\pothole\train_pothole_0070.jpg,1,pothole
train\pothole\train_pothole_0072.jpg,1,pothole
train\pothole\train_pothole_0074.jpg,1,pothole
train\pothole\train_pothole_0075.jpg,1,pothole
train\pothole\train_pothole_0085.jpg,1,pothole
train\pothole\train_pothole_0086.jpg,1,pothole
train\pothole\train_pothole_0088.jpg,1,pothole
train\pothole\train_pothole_0089.jpg,1,pothole
train\pothole\train_pothole_0091.jpg,1,pothole
